TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
200901010030,4.306309,0.543735,0.269092,15.863970,-2.658653,-38.362024,21.532532
200901010100,4.693977,0.466665,0.291708,15.405390,-2.227951,-45.648910,18.720224
200901010130,3.801309,0.399463,0.200454,14.902710,-2.375031,-22.806595,15.407104
200901010200,3.729153,0.343253,0.183664,14.335630,-2.338738,-24.825688,9.278406
200901010230,3.367559,0.295784,0.150174,13.946710,-2.173356,-20.407081,7.158784
200901010300,3.062476,0.254568,0.135598,13.566170,-2.071722,-15.243581,7.849797
200901010330,3.615843,0.233307,0.145434,13.494660,-1.030169,-15.994800,3.006272
200901010400,4.102497,0.226924,0.133459,13.696710,-0.735577,-11.271043,7.079206
200901010430,5.409045,0.249856,0.201424,14.051630,0.220753,-11.696078,16.706149
200901010500,3.824646,0.289395,0.194881,14.470750,0.629337,-11.949259,14.665454
200901010530,3.110269,0.301880,0.154941,14.780340,9.476239,-11.343996,14.376877
200901010600,0.665624,0.323398,0.147829,15.123850,56.454910,-9.413548,20.502117
200901010630,-1.881986,0.418492,0.217326,16.034280,90.877750,-17.975991,36.502391
200901010700,-5.336237,0.626862,0.487604,17.059210,164.984700,-62.432637,130.183884
200901010730,-13.856076,0.771489,0.526064,17.646490,327.580000,-15.089283,148.756951
200901010800,-18.536861,0.958295,0.562292,18.577490,521.912200,15.120531,238.384587
200901010830,-20.488118,1.036803,0.533728,19.348670,652.238700,54.333438,282.439493
200901010900,-27.539593,1.114990,0.686705,19.934800,674.959200,51.747732,407.165572
200901010930,-23.409118,1.068932,0.648200,19.753850,624.239700,21.645639,304.436599
200901011000,-30.246757,1.113030,0.651797,20.140830,715.109300,45.201185,403.725179
200901011030,-23.621096,1.292404,0.567459,21.027130,922.404400,61.767065,376.239010
200901011100,-22.143172,1.346332,0.573406,21.293950,836.380300,29.821990,368.765316
200901011130,-27.367922,1.522736,0.679385,22.158010,1122.339000,81.473169,509.476046
200901011200,-24.536321,1.613187,0.668298,22.541860,987.240600,44.802592,482.832589
200901011230,-21.245896,1.614335,0.658241,22.639560,885.904400,-1.109528,406.013258
200901011300,-25.481452,1.577089,0.822519,22.834560,938.091600,57.206287,477.840688
200901011330,-27.641718,1.620942,0.726463,22.977650,995.173700,48.145616,553.359142
200901011400,-24.959247,1.597115,0.811150,22.781550,794.903800,-13.226484,510.924208
200901011430,-24.480666,1.738935,0.836837,23.140590,926.867900,4.599180,587.550739
200901011500,-20.571429,1.799478,0.767673,23.334420,904.976100,-9.431345,496.829609
200901011530,-17.795963,1.793743,0.862927,23.061790,829.655800,-20.675354,470.952317
200901011600,-18.524865,1.670591,0.873288,22.904440,736.501300,-29.838969,461.284827
200901011630,-15.168770,1.646515,0.903225,22.501830,637.226900,-34.262662,409.943858
200901011700,-13.125630,1.671507,0.831514,22.305550,528.724700,-77.588191,399.323836
200901011730,-8.389414,1.643987,0.865212,21.667480,413.858800,-83.220396,304.827776
200901011800,-6.992810,1.578381,0.998974,21.017040,295.499900,-110.388317,306.002736
200901011830,-2.722512,1.435431,0.977147,20.025870,177.735900,-106.329759,211.763560
200901011900,0.788016,1.288519,0.914579,18.868730,76.149420,-95.261737,151.492731
200901011930,4.853351,1.114134,0.920389,17.688020,11.955930,-110.395777,96.888495
200901012000,5.685791,1.039412,0.853881,16.895100,-1.751678,-93.716511,72.392420
200901012030,5.797585,0.966746,0.698785,16.182890,-2.541880,-79.715522,61.511459
200901012100,5.790099,0.916179,0.798067,15.529150,-2.443585,-90.030913,56.293662
200901012130,5.019847,0.906313,0.775400,14.869420,-2.500295,-82.236443,45.029133
200901012200,5.077467,0.852015,0.655003,14.210880,-2.622968,-71.551212,46.027267
200901012230,4.780701,0.790906,0.562734,13.713290,-2.594311,-74.602835,40.823166
200901012300,3.533170,0.715231,0.356909,13.114570,-2.884597,-50.005020,25.220866
200901012330,3.644737,0.627758,0.203770,12.453100,-2.873729,-35.941740,19.302889
200901020000,3.955420,0.558073,0.206138,11.812900,-2.737243,-39.521117,19.986493
200901020030,3.858267,0.526441,0.281518,11.454890,-2.512124,-52.688625,23.225690
200901020100,3.580764,0.495964,0.300645,11.052880,-2.472542,-49.701643,20.795848
200901020130,3.568614,0.451140,0.385062,10.595210,-2.245290,-54.585169,21.591185
200901020200,3.405363,0.432683,0.402165,10.360140,-2.254573,-56.101467,20.060794
200901020230,3.626849,0.386444,0.382274,9.720256,-2.516414,-48.179643,21.057058
200901020300,2.989239,0.358665,0.318028,9.357453,-2.389318,-37.945923,16.407257
200901020330,2.978355,0.319370,0.281392,8.823284,-2.544146,-34.848023,13.883493
200901020400,3.230302,0.288065,0.262565,8.349073,-2.349680,-39.910774,13.803831
200901020430,3.224597,0.267753,0.284316,8.043868,-2.267747,-38.672831,11.864534
200901020500,2.915457,0.252337,0.267730,7.820405,-0.523960,-36.583793,10.214001
200901020530,1.239214,0.242685,0.266962,7.740599,25.784280,-31.253418,13.684370
200901020600,-2.403824,0.286139,0.372182,8.521277,103.938200,-0.844375,29.788167
200901020630,-6.600195,0.409983,0.461294,10.386760,212.411000,8.290962,46.841497
200901020700,-10.842300,0.578434,0.586016,12.101850,330.657000,26.828460,109.661164
200901020730,-14.305956,0.691531,0.735957,13.037750,448.510100,64.430642,141.834344
200901020800,-18.272960,0.774245,0.846904,13.813350,553.413900,115.309431,191.073745
200901020830,-19.782499,0.839958,0.780262,14.512880,661.360700,143.880114,226.786709
200901020900,-22.510451,0.938810,0.789861,15.143420,761.696700,170.467437,271.991628
200901020930,-22.701467,1.041884,0.701672,15.702420,856.037300,178.951561,304.777760
200901021000,-25.541575,1.099069,0.671390,16.469560,940.867700,168.387180,364.744949
200901021030,-25.963933,1.191391,0.727771,17.137030,1011.115000,177.580968,402.240223
200901021100,-23.991924,1.270979,0.610176,17.629070,1067.029000,156.419783,381.977758
200901021130,-30.988475,1.331924,0.653470,18.347810,1106.741000,191.352902,519.915841
200901021200,-23.283933,1.425787,0.536020,18.933720,1128.764000,126.333638,396.415962
200901021230,-24.022995,1.498937,0.544585,19.533940,1132.890000,121.450583,433.581534
200901021300,-22.657996,1.581983,0.457826,20.077160,1118.908000,116.408376,423.725297
200901021330,-21.459104,1.662030,0.459282,20.782110,1089.272000,92.573403,411.721549
200901021400,-23.628483,1.750009,0.582331,21.219300,1046.703000,94.039051,519.447658
200901021430,-19.383471,1.826385,0.467007,21.715020,988.430600,42.322835,437.861596
200901021500,-16.231847,1.914860,0.483821,22.013980,916.566200,19.424402,374.473854
200901021530,-19.719930,1.978123,0.399814,22.378970,833.472500,5.852526,457.365376
200901021600,-15.153167,2.004152,0.418942,22.606910,741.481500,-20.853912,388.489470
200901021630,-16.573057,2.044334,0.465462,22.779650,640.920000,-42.203947,393.751462
200901021700,-11.019208,2.028703,0.470347,22.765330,529.306200,-66.284825,329.925331
200901021730,-7.867465,2.037409,0.385626,22.704460,411.463400,-63.086532,232.702012
200901021800,-4.954178,2.008378,0.421515,22.493490,292.117100,-97.139848,226.645735
200901021830,-1.966708,1.994539,0.452310,22.295440,175.948000,-130.186885,200.476301
200901021900,1.658475,1.969004,0.380786,21.947110,77.392320,-120.388883,130.109067
200901021930,4.220904,1.881192,0.229671,21.349030,13.269460,-77.415678,65.794990
200901022000,2.050922,1.790915,0.124514,20.544640,-2.503651,-20.202310,21.696840
200901022030,1.626630,1.703738,0.096743,19.806700,-2.246389,-13.502548,8.621611
200901022100,1.602697,1.565843,0.100249,18.766360,-2.330517,-15.120330,8.915441
200901022130,-0.011838,1.509756,0.056134,18.238360,-1.807826,-2.375324,1.091254
