TIMESTAMP,H,SW_IN,TA,VPD
200801010030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010400,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010430,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010500,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010530,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010600,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010630,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010700,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010730,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010800,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010830,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010900,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801010930,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011400,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011430,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011500,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011530,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011600,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011630,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011700,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011730,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011800,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011830,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011900,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801011930,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801012330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020400,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020430,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020500,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020530,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020600,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020630,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020700,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020730,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020800,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020830,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020900,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801020930,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021400,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021430,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021500,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021530,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021600,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021630,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021700,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021730,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021800,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021830,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021900,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801021930,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801022330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030030,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030100,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030130,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030200,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030230,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030300,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030330,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030400,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030430,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030500,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030530,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030600,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030630,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030700,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030730,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030800,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030830,-9999.000000,-9999.000000,-9999.000000,-9999.000000
200801030900,-9999.000000,-9999.000000,-9999.000000,-9999.000000
