TIMESTAMP,H,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801021600,-9999,10.7547,3,10.7547,6,25.8179,3,3,463
200801021630,-9999,4.34947,3,4.34947,7,27.3607,3,3,463
200801021700,-9999,-8.68968,3,-8.68968,8,22.3307,3,3,463
200801021730,-9999,-16.1698,3,-16.1698,9,22.6866,3,3,463
200801021800,-9999,-19.1819,3,-19.1819,10,22.9124,3,3,463
200801021830,-9999,-27.267,3,-27.267,10,14.2464,3,3,463
200801021900,-9999,-30.5329,3,-30.5329,10,12.3957,3,3,463
200801021930,-9999,-30.3214,3,-30.3214,10,11.454,3,3,463
200801022000,-9999,-30.4483,3,-30.4483,10,12.098,3,3,463
200801022030,-9999,-27.4062,3,-27.4062,10,12.2746,3,3,463
200801022100,-9999,-25.8107,3,-25.8107,10,12.5777,3,3,463
200801022130,-9999,-23.3443,3,-23.3443,10,10.7354,3,3,463
200801022200,-9999,-22.8568,3,-22.8568,10,8.33036,3,3,463
200801022230,-9999,-20.1038,3,-20.1038,10,4.20283,3,3,463
200801022300,-9999,-20.1062,3,-20.1062,10,6.01217,3,3,463
200801022330,-9999,-20.7141,3,-20.7141,10,9.19328,3,3,463
200801030000,-9999,-22.7762,3,-22.7762,10,11.8594,3,3,463
200801030030,-9999,-23.6558,3,-23.6558,10,12.8536,3,3,463
200801030100,-9999,-23.7171,3,-23.7171,10,13.1561,3,3,463
200801030130,-9999,-23.5434,3,-23.5434,10,12.8056,3,3,463
200801030200,-9999,-25.231,3,-25.231,10,13.3575,3,3,463
200801030230,-9999,-26.7749,3,-26.7749,10,13.5755,3,3,463
200801030300,-9999,-28.2578,3,-28.2578,10,13.3346,3,3,463
200801030330,-9999,-31.7939,3,-31.7939,10,13.345,3,3,463
200801030400,-9999,-35.3208,3,-35.3208,10,14.4905,3,3,463
200801030430,-9999,-34.7346,3,-34.7346,10,12.8856,3,3,463
200801030500,-9999,-33.0402,3,-33.0402,10,12.0982,3,3,463
200801030530,-9999,-30.0274,3,-30.0274,10,13.4654,3,3,463
200801030600,-9999,-25.6921,3,-25.6921,10,13.0742,3,3,463
200801030630,-9999,-21.9174,3,-21.9174,10,7.7976,3,3,463
200801030700,-9999,-19.3622,3,-19.3622,10,7.11521,3,3,463
200801030730,-9999,-18.408,3,-18.408,10,7.59689,3,3,463
200801030800,-9999,-13.1068,3,-13.1068,10,13.4834,3,3,463
200801030830,-9999,0.0252341,3,0.0252341,10,32.7205,3,3,463
200801030900,-9999,12.8496,3,12.8496,10,35.6503,3,3,463
200801030930,-9999,38.3428,3,38.3428,10,50.5216,3,3,463
200801031000,-9999,67.618,3,67.618,10,51.9642,3,3,463
200801031030,-9999,85.9821,3,85.9821,10,42.6205,3,3,463
200801031100,-9999,96.7577,3,96.7577,10,44.4467,3,3,463
200801031130,-9999,110.429,3,110.429,10,35.6854,3,3,463
200801031200,-9999,107.651,3,107.651,10,35.9476,3,3,463
200801031230,-9999,111.984,3,111.984,10,41.2994,3,3,463
200801031300,-9999,113.642,3,113.642,10,40.5462,3,3,463
200801031330,-9999,106.072,3,106.072,10,36.0725,3,3,463
200801031400,-9999,92.544,3,92.544,10,46.3127,3,3,463
200801031430,-9999,84.1016,3,84.1016,10,48.4848,3,3,463
200801031500,-9999,64.2422,3,64.2422,10,36.0594,3,3,463
200801031530,-9999,38.1347,3,38.1347,10,41.921,3,3,463
200801031600,-9999,28.8211,3,28.8211,11,38.9462,3,3,463
200801031630,-9999,19.2397,3,19.2397,12,36.3805,3,3,463
200801031700,-9999,5.55501,3,5.55501,13,34.5948,3,3,463
200801031730,-9999,-9.1089,3,-9.1089,14,26.9493,3,3,463
200801031800,-9999,-12.6202,3,-12.6202,15,28.0016,3,3,463
200801031830,-9999,-22.4762,3,-22.4762,15,20.3976,3,3,463
200801031900,-9999,-28.7498,3,-28.7498,15,13.2552,3,3,463
200801031930,-9999,-32.3579,3,-32.3579,15,11.1221,3,3,463
200801032000,-9999,-32.8553,3,-32.8553,15,11.7603,3,3,463
200801032030,-9999,-30.8715,3,-30.8715,15,12.4143,3,3,463
200801032100,-9999,-30.7745,3,-30.7745,15,13.2825,3,3,463
200801032130,-9999,-30.0638,3,-30.0638,15,13.572,3,3,463
