TIMESTAMP,LE,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801022300,-9999,5.60775,3,5.60775,10,4.43888,3,3,463
200801022330,-9999,6.70548,3,6.70548,10,6.79872,3,3,463
200801030000,-9999,8.02472,3,8.02472,10,8.28905,3,3,463
200801030030,-9999,8.5193,3,8.5193,10,8.64307,3,3,463
200801030100,-9999,8.55797,3,8.55797,10,8.66434,3,3,463
200801030130,-9999,7.82483,3,7.82483,10,8.38143,3,3,463
200801030200,-9999,6.88653,3,6.88653,10,7.21283,3,3,463
200801030230,-9999,6.61293,3,6.61293,10,6.48686,3,3,463
200801030300,-9999,8.10751,3,8.10751,10,8.61447,3,3,463
200801030330,-9999,9.56022,3,9.56022,10,9.65459,3,3,463
200801030400,-9999,10.3174,3,10.3174,10,9.60778,3,3,463
200801030430,-9999,9.07984,3,9.07984,10,10.5141,3,3,463
200801030500,-9999,6.89774,3,6.89774,10,11.097,3,3,463
200801030530,-9999,3.95517,3,3.95517,10,8.86389,3,3,463
200801030600,-9999,1.57437,3,1.57437,10,5.93202,3,3,463
200801030630,-9999,0.724284,3,0.724284,10,4.33529,3,3,463
200801030700,-9999,2.02468,3,2.02468,10,4.31233,3,3,463
200801030730,-9999,5.54496,3,5.54496,10,6.30984,3,3,463
200801030800,-9999,7.74647,3,7.74647,10,8.49198,3,3,463
200801030830,-9999,13.8607,3,13.8607,10,14.6968,3,3,463
200801030900,-9999,21.1276,3,21.1276,10,19.0053,3,3,463
200801030930,-9999,31.5201,3,31.5201,10,22.3702,3,3,463
200801031000,-9999,42.0543,3,42.0543,10,26.3448,3,3,463
200801031030,-9999,58.4634,3,58.4634,10,27.5326,3,3,463
200801031100,-9999,72.316,3,72.316,10,28.4381,3,3,463
200801031130,-9999,81.7645,3,81.7645,10,21.2318,3,3,463
200801031200,-9999,83.054,3,83.054,10,20.6196,3,3,463
200801031230,-9999,86.5736,3,86.5736,10,17.6651,3,3,463
200801031300,-9999,94.2437,3,94.2437,10,32.3216,3,3,463
200801031330,-9999,96.4791,3,96.4791,10,40.7906,3,3,463
200801031400,-9999,105.236,3,105.236,10,46.2452,3,3,463
200801031430,-9999,115.702,3,115.702,10,42.9675,3,3,463
200801031500,-9999,119.369,3,119.369,10,43.9003,3,3,463
200801031530,-9999,128.598,3,128.598,10,48.9388,3,3,463
200801031600,-9999,135.489,3,135.489,11,74.6039,3,3,463
200801031630,-9999,118.668,3,118.668,12,77.4193,3,3,463
200801031700,-9999,102.971,3,102.971,13,79.6039,3,3,463
200801031730,-9999,86.8498,3,86.8498,14,81.7767,3,3,463
200801031800,-9999,61.1171,3,61.1171,15,71.9812,3,3,463
200801031830,-9999,35.2814,3,35.2814,15,25.1166,3,3,463
200801031900,-9999,24.3664,3,24.3664,15,18.042,3,3,463
200801031930,-9999,16.6096,3,16.6096,15,10.9049,3,3,463
200801032000,-9999,12.9576,3,12.9576,15,7.02337,3,3,463
200801032030,-9999,10.8887,3,10.8887,15,5.99492,3,3,463
200801032100,-9999,9.60044,3,9.60044,15,5.66203,3,3,463
200801032130,-9999,8.74804,3,8.74804,15,5.36988,3,3,463
200801032200,-9999,8.18637,3,8.18637,15,4.57532,3,3,463
200801032230,-9999,7.24307,3,7.24307,15,4.32804,3,3,463
200801032300,-9999,6.87588,3,6.87588,15,4.3073,3,3,463
200801032330,-9999,7.24993,3,7.24993,15,5.77322,3,3,463
200801040000,-9999,7.53268,3,7.53268,15,7.00163,3,3,463
200801040030,-9999,7.25842,3,7.25842,15,7.25175,3,3,463
200801040100,-9999,7.06215,3,7.06215,15,7.3304,3,3,463
200801040130,-9999,6.30844,3,6.30844,15,7.12566,3,3,463
200801040200,-9999,5.86935,3,5.86935,15,6.13843,3,3,463
200801040230,-9999,5.65162,3,5.65162,15,5.58675,3,3,463
